,date,title,support,notes,tags,reviews,One Set,Set 1,Set 2,Set 3,Encore,2nd Encore,3rd Encore,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Overtime
0,2015-06-28,"Limelight Eventplex, Peoria, IL, USA",,"['Happy Birthday was for Steve ""Britches"" Britz', 'Roundabout was for Chris Squire who died earlier that day ', 'with Front Porch tease before Thin Air', 'last Root Beer Rag 11.29.2003 (1,384 shows)']","{'1': 'with Back In Black (AC/DC) jam', '2': 'with Steve ""Britches"" Britz on percussion; with Happy Birthday', '3': 'with Happy Birthday quote', '4': 'with Fool In the Rain (Led Zeppelin) jam', '5': 'incomplete'}",1 review(s),,,,,,,,,,,,
0,2015-07-02,"Boulder Theater, Boulder, CO, USA",,['with Pipeline (The Chantays) tease before The Fussy Dutchman'],"{'1': 'with Remind Me/Draconian teases', '2': 'with All In Time tease'}",,,,,,,,,,,,,
0,2015-07-03,"Red Rocks Amphitheatre, Morrison, CO, USA",Papadosio and TAUK,None,"{'1': ""with Paradise City (Guns N' Roses) teases"", '2': 'original version', '3': ""with Steve Krojniewski on percussion; with Wanna Be Startin' Somethin' (Michael Jackson) jam""}",,,,,,,,,,,,,
0,2015-07-04,"""High Sierra Music Festival"" Plumas-Sierra County Fairgrounds, Quincy, CA, USA",,['Grandstand Stage'],"{'1': 'with The Fish (Yes) teases', '2': ""with Phil's Farm teases"", '3': 'unfinished'}",,,,,,,,,,,,,
0,2015-07-16,"Blue Hills Bank Pavilion, Boston, MA, USA",Lettuce,None,"{'1': ""with White Man's Moccasins teases"", '2': 'with Eminence Front (The Who) lyrics and tease'}",1 review(s),,,,,,,,,,,,
0,2015-07-17,"Stone Pony Summerstage, Asbury Park, NJ, USA",Lettuce,None,"{'1': 'with Jake on keys', '2': 'with Bulls On Parade (Rage Against the Machine) jam and quote'}",1 review(s),,,,,,,,,,,,
0,2015-07-18,"River Stage at Penn's Landing, Philadelphia, PA, USA",Lettuce,None,"{'1': 'with The Fish (Yes) teases', '2': ""with Can't You Hear Me Knockin' (Rolling Stones) jam; unfinished"", '3': 'with Eric Krasno on guitar', '4': 'with Eric ""Benny"" Bloom on trumpet, Adam ""Shmeeans"" Smirnoff on guitar, and Ryan Zoidis on saxophone', '5': 'with Cowboys from Hell (Pantera) jam'}",,,,,,,,,,,,,
0,2015-07-19,"Pier Six Pavilion, Baltimore, MD, USA",Lettuce,None,"{'1': 'unfinished', '2': 'with Eric ""Benny"" Bloom on trumpet and Nigel Hall on keys'}",,,,,,,,,,,,,
0,2015-08-06,"Canalside, Buffalo, NY, USA",Aqueous,None,{'1': 'with In the Light (Led Zeppelin) teases'},,,,,,,,,,,,,
0,2015-08-07,"""The Werk Out Music & Arts Festival"" Legend Valley Music Center, Thornville, OH, USA",,None,"{'1': 'with Hang Up Your Hang Ups (Herbie Hancock) teases', '2': 'unfinished', '3': 'ending only; with Roundabout (Yes) teases', '4': 'with Steve Sweney on guitar'}",,,,,,,,,,,,,
0,2015-08-08,"Farm Bureau Insurance Lawn at White River State Park, Indianapolis, IN, USA",J. Roddy Walston & the Business,None,"{'1': 'with Seek & Destroy (Metallica) tease', '2': 'with Onward & Upward tease', '3': 'with Jake on keys'}",,,,,,,,,,,,,
0,2015-08-09,"Frederik Meijer Gardens, Grand Rapids, MI, USA",,None,"{'1': 'with The Fish (Yes) teases', '2': 'with Brendan on acoustic guitar', '3': '""Jimmy Stewart"" with lyrics', '4': 'with Xxplosive (Dr. Dre) teases', '5': 'part III only', '6': 'with Crazy Train (Ozzy Osbourne) jam'}",,,,,,,,,,,,,
0,2015-08-13,"Iroquois Amphitheater, Louisville, KY, USA",J. Roddy Walston & The Business,['with power outage during The Bottom Half'],{'1': 'with Let Me Blow Ya Mind (Eve) and Xxplosive (Dr. Dre) teases'},1 review(s),,,,,,,,,,,,
0,2015-08-14,"Ravinia Festival, Highland Park, IL, USA",,None,"{'1': 'incomplete', '2': 'with Michelle Hallman on vocals', '3': 'with Watermelon In Easter Hay (Frank Zappa) jam', '4': 'with Chicago Mass Choir', '5': 'debut, Talking Heads; with Chicago Mass Choir', '6': 'debut, Bill Withers; with Chicago Mass Choir and Jen Hartswick on vocals'}",,,,,,,,,,,,,
0,2015-08-15,"Meadow Brook Music Festival, Rochester Hills, MI, USA",Lettuce,None,"{'1': 'debut, original', '2': 'with Adam ""Shmeeans"" Smirnoff on guitar', '3': 'with Nigel Hall on keys', '4': 'with Tiny Cities Made of Ashes (Modest Mouse) teases'}",,,,,,,,,,,,,
0,2015-08-20,"The Fillmore, Charlotte, NC, USA",J. Roddy Walston & The Business,None,"{'1': 'debut, Electric Light Orchestra', '2': 'with Soul Food II, Hang Up Your Hang Up (Herbie Hancock), and Stairway to Heaven (Led Zeppelin) teases'}",2 review(s),,,,,,,,,,,,
0,2015-08-21,"House of Blues, Lake Buena Vista, FL, USA",J. Roddy Walston & The Business,None,{'1': 'with The Floor teases'},,,,,,,,,,,,,
0,2015-08-22,"The Fillmore Miami Beach, Miami Beach, FL, USA",J. Roddy Walston & The Business,None,"{'1': ""with Thunder Kiss '65 (White Zombie) jam"", '2': 'with Roosevelt Collier on steel guitar', '3': 'with Jake on keys'}",1 review(s),,,,,,,,,,,,
0,2015-08-23,"Jannus Live, St. Petersburg, FL, USA",,None,{'1': 'unfinished'},,,,,,,,,,,,,
0,2015-09-10,"Avondale Brewing Company, Birmingham, AL, USA",,None,{'1': 'with Rhiannon (Fleetwood Mac) teases'},,,,,,,,,,,,,
0,2015-09-11,"""Lockn' Festival"" Oak Ridge Estate, Arrington, VA, USA",,['Blue Ridge Bowl'],{'1': 'with Norwegian Wood (The Beatles) jam'},,,,,,,,,,,,,
0,2015-09-13,"""LouFest"" Forest Park, St. Louis, MO, USA",,['Bud Light Stage'],{},,,,,,,,,,,,,
0,2015-09-24,"""Chucktown Ball"" Music Farm, Charleston, SC, USA",,None,{'1': 'with Rhiannon (Fleetwood Mac) tease'},,,,,,,,,,,,,
0,2015-09-25,"""Chucktown Ball"" Music Farm, Charleston, SC, USA",,None,{'1': 'with Stranglehold (Ted Nugent) jam'},,,,,,,,,,,,,
0,2015-09-26,"""Chucktown Ball"" Music Farm, Charleston, SC, USA",,None,"{'1': 'with Woody Woodpecker theme (Tibbles/Idriss) teases', '2': 'unfinished'}",,,,,,,,,,,,,
0,2015-10-26,"Georgia Theatre, Athens, GA, USA",,None,"{'1': 'with No More Tears (Ozzy Osbourne) teases', '2': ""with Can't You Hear Me Knocking (Rolling Stones) jam""}",1 review(s),,,,,,,,,,,,
0,2015-10-27,"Georgia Theatre, Athens, GA, USA",,None,"{'1': 'with Demolition Man (Sting) tease', '2': 'with Roundabout (Yes) teases', '3': 'with Rhiannon (Fleetwood Mac) tease'}",1 review(s),,,,,,,,,,,,
0,2015-10-29,"Riverside Theater, Milwaukee, WI, USA",North American Scum,None,"{'1': 'with Super Mario Brothers ""Underground"" theme (Koji Kondo) and Everybody Wants to Rule the World (Tears for Fears) teases'}",,,,,,,,,,,,,
0,2015-10-30,"Riverside Theater, Milwaukee, WI, USA",The Motet,None,{'1': 'with Kevin Sinclair on saxophone'},,,,,,,,,,,,,
0,2015-10-31,"Riverside Theater, Milwaukee, WI, USA",,"['Band costumes: Brendan was Jon Snotre Dame, Jake was Jon Bon Snovi, Joel was Dr. Jon Snow, Andy was Jon Snoates, Kris was Jon Snowen Wilson, and Ryan was Jon Snobi Wan Kanobi', 'Band walked out to Game of Thrones Main Title (Ramin Djawadi)', 'Runaway (Bon Jovi) was quoted during the band intros']","{'1': 'with Another Brick in the Wall (Pink Floyd) and Halloween theme (John Carpenter) teases', '2': ""debut; Can't Feel My Face (The Weeknd) + Dreams (Fleetwood Mac) + Rock With You (Michael Jackson) mash-up"", '3': '""lounge"" version', '4': 'debut; Back In Black (AC/DC) + Sexual Healing (Marvin Gaye) mash-up'}",,,,,,,,,,,,,
0,2015-12-03,"""Dominican Holidaze"" Breathless Punta Cana Resort & Spa, Punta Cana, DR",,None,"{'1': ""with Paradise City (Guns N' Roses) teases"", '2': 'with Rhiannon (Fleetwood Mac) jam'}",,,,,,,,,,,,,
0,2015-12-05,"""Dominican Holidaze"" Breathless Punta Cana Resort & Spa, Punta Cana, DR",,None,{'1': 'with Eric Bloom on trumpet and Ryan Zoidis on saxophone'},,,,,,,,,,,,,
0,2015-12-06,"""Dominican Holidaze"" Breathless Punta Cana Resort & Spa, Punta Cana, DR",,['Plush was played in remembrance of Scott Weiland'],"{'1': 'with Immigrant Song (Led Zeppelin) teases', '2': 'debut, original', '3': 'with Life In the Fast Lane (The Eagles) teases', '4': 'with Plunger tease', '5': 'debut, Stone Temple Pilots'}",,,,,,,,,,,,,
0,2015-12-30,"Fillmore Auditorium, Denver, CO, USA",The Nth Power,['Silver Machine was played in remembrance of Lemmy Kilmister'],"{'1': 'debut, Hawkwind; incomplete', '2': '""Jimmy Stewart"" with lyrics'}",,,,,,,,,,,,,
0,2015-12-31,"Fillmore Auditorium, Denver, CO, USA",,"['Mad Dog and his Filthy Little Secret horns were: Michael ""Mad Dog"" Mavridoglou on trumpet, Jeff Coffin on saxophone, Chris Ott on trombone, and Josh Quinlan on saxophone']","{'1': 'with Mad Dog and his Filthy Little Secret horns', '2': 'debut, original; with Mad Dog and his Filthy Little Secret horns', '3': 'with Blackbird (The Beatles) jam', '4': 'debut, Squeeze; with Mad Dog and his Filthy Little Secret horns', '5': 'debut, R. Kelly; with Mad Dog and his Filthy Little Secret horns', '6': ""with I Keep Forgettin' (Michael McDonald) teases"", '7': 'debut, Run-D.M.C.; with Mad Dog and his Filthy Little Secret horns'}",1 review(s),,,,,,,,,,,,
0,2014-01-17,"Beacon Theatre, New York, NY, USA",,None,"{'1': 'debut, original', '2': 'with Den jam', '3': 'with Jake on percussion'}",,,,,,,,,,,,,
0,2014-01-18,"Beacon Theatre, New York, NY, USA",,"[""with Pipeline (The Ventures) tease during introductions before White Man's Moccasins""]","{'1': 'debut, original', '2': 'with Entrance of the Gladiators (Julius Fučík) tease', '3': 'with Liberty Echo jam and The Spirit of Radio (Rush) tease', '4': 'with Lose Yourself (Eminem) jam', '5': 'one verse', '6': 'with Norwegian Wood (The Beatles) jam and Xxplosive (Dr. Dre) teases', '7': 'with Thunderstruck (AC/DC) tease', '8': 'with Domino Theory teases'}",,,,,,,,,,,,,
0,2014-01-30,"Tennessee Theatre, Knoxville, TN, USA",,"[""complete show was played in remembrance of Mike Mirro, Umphrey's original drummer, who passed away earlier that day""]","{'1': 'with Garbage Man (Ike Turner and the Family Vibes) teases; unfinished', '2': 'with Xxplosive (Dr. Dre) teases', '3': 'with Ocean Billy and Puppet String teases'}",,,,,,,,,,,,,
0,2014-01-31,"Lifestyle Communities Pavilion, Columbus, OH, USA",,None,{'1': 'with Rhiannon (Fleetwood Mac) tease'},,,,,,,,,,,,,
0,2014-02-01,"The Fillmore, Detroit, MI, USA",The Werks,None,"{'1': 'debut, Grandmaster Flash and the Furious Five; instrumental, with Jake on keys', '2': 'one verse', '3': ""with Get Up (I Feel Like Being a) Sex Machine (James Brown) and Garbage Man (Ike Turner and the Family Vibes) teases and It's So Cold in the D (T-Baby) quotes"", '4': '""Jimmy Stewart"" with lyrics'}",,,,,,,,,,,,,
0,2014-02-06,"Upstate Concert Hall, Clifton Park, NY, USA",,None,"{'1': ""with Can't You Hear Me Knocking (The Rolling Stones) teases from Jake"", '2': 'with The Floor teases', '3': '""Jimmy Stewart"" with lyrics', '4': 'unfinished', '5': 'with Go to Hell teases', '6': 'with Señor Mouse (Al Di Meola) teases from Brendan', '7': 'with Brendan on acoustic'}",,,,,,,,,,,,,
0,2014-02-07,"Lupo's Heartbreak Hotel, Providence, RI, USA",Kung Fu,None,"{'1': 'with Intentions Clear teases', '2': 'with Frere Jacques (trad.) teases', '3': 'with Rappers Delight (Sugar Hill Gang) teases', '4': 'started with Thunderstruck (AC/DC) tease'}",1 review(s),,,,,,,,,,,,
0,2014-02-08,"F-Shed at The Market, Syracuse, NY, USA",Kung Fu,None,"{'1': 'with Xxplosive (Dr. Dre) teases', '2': 'with Jake on keys', '3': 'with Wherever I May Roam (Metallica) teases', '4': 'with ""Zsa Zsa Gabor, Fifi"" lyrics'}",,,,,,,,,,,,,
0,2014-02-09,"Harro East Ballroom, Rochester, NY, USA",,None,{'1': 'with Nipple Trix jam'},,,,,,,,,,,,,
0,2014-02-13,"The NorVa, Norfolk, VA, USA",,None,{'1': 'with In My Time of Dying (Led Zeppelin) tease from Jake'},,,,,,,,,,,,,
0,2014-02-14,"Thomas Wolfe Auditorium, Asheville, NC, USA",Moon Taxi,"['last Whole Lotta Love 06.20.2003 (1,304 shows)']","{'1': '""Jimmy Stewart"" with lyrics; with Jake on keys', '2': 'incomplete; with Heartbreaker (Led Zeppelin) tease'}",,,,,,,,,,,,,
0,2014-02-15,"The Fillmore Silver Spring, Silver Spring, MD, USA",Moon Taxi,None,{'1': 'with One Nation Under a Groove (Funkadelic) teases'},,,,,,,,,,,,,
0,2014-02-16,"The Fillmore Silver Spring, Silver Spring, MD, USA",Bad Rabbits,None,"{'1': 'with Tony Reali on percussion and organ', '2': 'with Den tease', '3': 'Jake solo', '4': 'with Jake on drums', '5': 'with One Nation Under a Groove (Funkadelic) teases'}",1 review(s),,,,,,,,,,,,
0,2014-02-20,"The Riviera Theatre, Chicago, IL, USA",,None,"{'1': 'with The Fuzz jam and ""Jimmy Stewart"" with lyrics', '2': 'with White Summer (Led Zeppelin) jam'}",,,,,,,,,,,,,
0,2014-02-21,"The Riviera Theatre, Chicago, IL, USA",,"['during the band intros before Prowler, Flight of the Bumblebee (Nikolai Rimsky-Korsakov) and Highway to Hell (AC/DC) were teased and a verse of Whole Lotta Love (Led Zeppelin) was played']","{'1': 'with Hajimemashite teases', '2': 'with La Grange (ZZ Top) jam', '3': 'incomplete'}",,,,,,,,,,,,,
0,2014-02-22,"The Riviera Theatre, Chicago, IL, USA",,None,"{'1': 'debut, original', '2': 'unfinished', '3': 'with Brendan and Jake on acoustics', '4': 'with Brendan and Jake on acoustics, and with Daphne Willis on vocals', '5': 'debut, The Cars', '6': 'with Jimmy Chamberlin on drums and Kris on percussion'}",,,,,,,,,,,,,
0,2014-03-05,"The Wilma Theatre, Missoula, MT, USA",The California Honeydrops,['Eye of the Tiger (Survivor) was teased after The Triple Wide.'],"{'1': 'with Forks jam', '2': ""with Free Fallin' (Tom Petty) jam""}",,,,,,,,,,,,,
0,2014-03-06,"Neptune, Seattle, WA, USA",The California Honeydrops,None,{'1': 'with No Quarter (Led Zeppelin) tease'},,,,,,,,,,,,,
0,2014-03-07,"Crystal Ballroom, Portland, OR, USA",The California Honeydrops,None,"{'1': 'with Star Wars theme (John Williams) tease', '2': 'with Jake on percussion'}",,,,,,,,,,,,,
0,2014-03-08,"The Fox Theater, Oakland, CA, USA",The California Honeydrops,None,"{'1': 'unfinished', '2': 'with True (Spandau Ballet) chorus quote from Brendan'}",,,,,,,,,,,,,
0,2014-03-12,"Ashland Armory, Ashland, OR, USA",,"[""(Don't Fear) The Reaper (Blue Öyster Cult) was teased before August""]","{'1': ""with Phil's Farm teases"", '2': 'with All Things Ninja jam; lost power mid song, jam was continued after power was restored'}",,,,,,,,,,,,,
0,2014-03-13,"Ace of Spades, Sacramento, CA, USA",,['last Dig A Pony 11.13.2008 (597 shows)'],{},1 review(s),,,,,,,,,,,,
0,2014-03-14,"House of Blues, San Diego, CA, USA",The California Honeydrops,"['following The Triple Wide, Ryan read a fan-penned poem']",{'1': 'with Rhiannon (Fleetwood Mac) tease in intro; with Jake on keys'},,,,,,,,,,,,,
0,2014-03-15,"The Wiltern, Los Angeles, CA, USA",The California Honeydrops,None,"{'1': 'with Norwegian Wood (The Beatles) jam', '2': 'with The California Honeydrops horns'}",,,,,,,,,,,,,
0,2014-03-18,"Belly Up Aspen, Aspen, CO, USA",,None,"{'1': 'with The Message (Grandmaster Flash) jam', '2': 'with A Go Go (John Scofield) teases', '3': 'with Den teases', '4': 'with Fletch theme (Harold Faltermeyer) tease'}",,,,,,,,,,,,,
0,2014-03-19,"Belly Up Aspen, Aspen, CO, USA",,None,"{'1': 'with 25 or 6 to 4 (Chicago) jam', '2': 'with The Trailor (Herbie Hancock) jam', '3': '""Jimmy Stewart"" with lyrics'}",,,,,,,,,,,,,
0,2014-03-20,"The Depot, Salt Lake City, UT, USA",The California Honeydrops,None,{},,,,,,,,,,,,,
0,2014-03-21,"Hard Rock Cafe, Las Vegas, NV, USA",The California Honeydrops,['last The Stranger 10.29.2010 (372 shows)'],{'1': 'with River People (Weather Report) teases'},,,,,,,,,,,,,
0,2014-03-22,"The Marquee Theatre, Tempe, AZ, USA",The California Honeydrops,None,"{'1': 'with Entrance of the Gladiators (Julius Fučík) tease', '2': ""with I Can't Go For That (No Can Do) (Hall & Oates) teases and Jukebox Babe (Alan Vega) jam"", '3': 'with Jake on keys', '4': 'with Crazy Train (Ozzy Osbourne) teases and ""Jimmy Stewart"" with lyrics'}",,,,,,,,,,,,,
0,2014-04-01,"Track 29, Chattanooga, TN, USA",,None,"{'1': 'with ""end of show"" fake-out', '2': 'with So What? (Miles Davis) jam', '3': 'with Third Stone from the Sun (Jimi Hendrix) and In a Silent Way (Miles Davis) teases', '4': 'with Bulls On Parade (Rage Against the Machine) jam'}",,,,,,,,,,,,,
0,2014-04-02,"Ziggy's, Winston-Salem, NC, USA",,None,"{'1': 'with Roundabout (Yes) tease', '2': 'with Jake on keys', '3': 'debut in full, The New Deal', '4': 'unfinished'}",,,,,,,,,,,,,
0,2014-04-03,"Greenfield Lake Amphitheater, Wilmington, NC, USA",,None,{'1': 'with Hurt Bird Bath jam'},,,,,,,,,,,,,
0,2014-04-04,"North Charleston Performing Arts Center, Charleston, SC, USA",Moon Taxi,None,"{'1': 'unfinished', '2': 'with Resolution tease', '3': 'with Entrance of the Gladiators (Julius Fučík) tease and Stranglehold (Ted Nugent) jam'}",,,,,,,,,,,,,
0,2014-04-05,"Iron City Music Hall, Birmingham, AL, USA",,None,"{'1': 'with Under Pressure (Queen) teases from Ryan', '2': 'ended with Sweet Home Alabama (Lynyrd Skynyrd) jam'}",,,,,,,,,,,,,
0,2014-04-07,"""The Major Rager"" Augusta Convention Center, Augusta, GA, USA",Moon Taxi,['show was originally scheduled for the Jessye Norman Amphitheater'],"{'1': 'with In My Time of Dying (Led Zeppelin) teases', '2': ""with Thunderstruck (AC/DC) tease and Wanna Be Startin' Somethin' (Michael Jackson) jam""}",,,,,,,,,,,,,
0,2014-04-08,"Georgia Theatre, Athens, GA, USA",,None,"{'1': 'with Third Stone From the Sun (Jimi Hendrix) jam', '2': 'with Nachos for Two jam'}",,,,,,,,,,,,,
0,2014-04-10,"Revolution Live, Ft. Lauderdale, FL, USA",Heavy Pets,None,"{'1': ""with Breezin' (George Benson) tease"", '2': '""Jimmy Stewart"" with lyrics'}",,,,,,,,,,,,,
0,2014-04-11,"""Wanee Music Festival"" Spirit of the Suwannee Music Park, Live Oak, FL, USA",,None,{'1': 'with For Whom the Bell Tolls (Metallica) jam'},,,,,,,,,,,,,
0,2014-04-12,"""Wanee Music Festival"" Spirit of the Suwannee Music Park, Live Oak, FL, USA",,['All Night Wrong cover set'],"{'1': 'with Rhiannon (Fleetwood Mac) teases', '2': 'with John Popper on harmonica', '3': 'with Oteil Burbridge replacing Ryan on bass', '4': 'with Oteil Burbridge replacing Ryan on bass; with Web Tangle tease', '5': 'with Eric Krasno on guitar and Adam Deitch replacing Kris on drums', '6': 'with Warren Haynes on guitar', '7': 'with Eric Krasno on guitar'}",,,,,,,,,,,,,
0,2014-04-16,"Saenger Theatre, Mobile, AL, USA",,None,"{'1': 'with Bad Friday teases', '2': 'with 46 & 2 (Tool) tease', '3': 'with Everything In Its Right Place (Radiohead) jam'}",,,,,,,,,,,,,
0,2014-04-17,"The Civic Theatre, New Orleans, LA, USA",,None,"{'1': ""with Room to Breathe and Can't You Hear Me Knocking (Rolling Stones) teases"", '2': 'with Mike Dillon on vibes and percussion', '3': 'with Stairway to Heaven (Led Zeppelin) tease', '4': 'with A Love Supreme (John Coltrane) tease'}",,,,,,,,,,,,,
0,2014-04-18,"House of Blues, Dallas, TX, USA",,None,"{'1': 'with Norwegian Wood (The Beatles) jam', '2': 'with The Jetsons theme (Curtin) tease'}",,,,,,,,,,,,,
0,2014-04-19,"Stubb's BBQ, Austin, TX, USA",,None,"{'1': '""Jimmy Stewart"" with lyrics', '2': 'with Mike Dillon on vibes and Carly Meyers on trombone'}",1 review(s),,,,,,,,,,,,
0,2014-05-03,"""UMBowl V"" Capitol Theatre, Port Chester, NY, USA",,"['first quarter was Raw Stewage, comprised of attendees\' votes for past ""Jimmy Stewarts"": Gents (03.07.2013 In the Kitchen + 09.23.2011 Ocean Billy), Skin the Cat (04.03.2007 Nemo + 09.09.2011 Bridgeless), Onward & Upward (02.06.2014 Mantis + 02.06.2013 Got Your Milk (Right Here) + 10.16.2013 Dump City + 10.17.2013 All In Time), and Mad Love (08.11.2012 Wappy Sprayberry + 02.21.2004 FF)', '', 'second quarter was comprised of attendees\' votes, ""All Request""', '', ""third quarter was a Stew Art Event: A song of fire and ice > Opium sunrise [with A Love Supreme (John Coltrane) teases] > James Brown revival [with Licking Stick-Licking Stick (James Brown) quotes] > Chase theme > Emergency dance party [with Safety Dance (Men Without Hats) teases and Du Hast (Rammstein) quotes] > Patriotic UM [with Simple Gifts and The Star Spangled Banner teases; with Bill Evans on saxophone] > Fire On the Bayou [with Fire On the Bayou (The Meters) quotes; with Bill Evans on saxophone] > Daft Funk [with Bill Evans on saxophone] > Barry White Love Letter [with lyrics; with Bill Evans on saxophone] > Rockabilly Throwdown [with Bill Evans on saxophone] > Baby Makin' Music [with Bill Evans on saxophone] > Frank Zappa-esque jam [with Willie the Pimp (Frank Zappa) quotes and Stairway to Heaven (Led Zeppelin) tease; with Bill Evans on saxophone]"", '', 'fourth quarter was in ""choose your own adventure"" style, with attendees voting for the next ""adventure"" live: Great American, Kabump, or The Haunt; The Triple Wide, JaJunk, Last Man Swerving; Industrial improv, Funk improv, or Electronic improv; Ocean Billy, Plunger, or Wife Soup; There’s No Crying In Mexico, Flamethrower, or Depth Charge; Bad Friday, Soul Food II, or FF; Jake on drums, Jake on keys, or Jake and BB switch rigs; Visions, Space Funk Booty, or Dear Lord; end of JaJunk, end of Bridgeless, or end of Mulche’s', '', 'the between-quarter clips had an Around the Horn theme', '', 'last Crazy Fingers 04.02.2009 (576 shows)', 'last Brain Damage 06.16.2006 (902 shows)', 'last Eclipse 06.16.2006 (902 shows)', 'last ""Brendan & Jake switch rigs"" 04.24.2010 (445 shows)', ""last Nuthin' but a 'G' Thang 02.03.2011 (363 shows)""]","{'1': 'debut, original', '2': 'debut, original; with vocals', '3': 'with Rock & Roll, part 2 (Gary Glitter) intro', '4': 'with Funky Monks (Red Hot Chilli Peppers) jam', '5': 'with All In Time tease', '6': 'with Think! (Julann Griffin) tease and Mind Left Body (Kanter/Garcia) jam', '7': 'ending', '8': 'with Jake on bass for Ryan', '9': 'with Bill Evans on saxophone'}",,,,,,,,,,,,,
0,2014-05-04,"Brooklyn Bowl, Brooklyn, NY, USA",,"['Nothing Too Fancy Music launch party', 'Proverbial was a selection from the UMBowl ""Raw Stewage"" voting: 02.25.2010 All In Time + 07.26.2007 Nemo', 'last Fearless 04.05.2009 (574 shows)', 'last Unskinny Bop 04.28.2003 (1,357 shows)']","{'1': '""Jimmy Stewart"" with lyrics', '2': 'debut, original', '3': 'with Similar Skin teases', '4': 'with Mad Love tease', '5': '""ogniR,"" the band played the song in reverse', '6': 'with Jake on percussion', '7': 'with Jake on drums and Kris on vocals; unfinished', '8': 'with Jake on drums and Kris on vocals'}",,,,,,,,,,,,,
0,2014-05-23,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,['Sunshine Stage'],"{'1': 'with Bill Evans on saxophone', '2': 'with Tom Sawyer (Rush) teases', '3': 'debut, The Police', '4': 'with Driven to Tears (The Police) teases'}",,,,,,,,,,,,,
0,2014-05-24,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,['Sunshine Stage'],"{'1': 'with Gents teases', '2': 'with Forty Six & 2 (Tool) jam', '3': '""Jimmy Stewart"" with lyrics', '4': 'debut, original; with band performing on keyboards and drum pads at Front of House', '5': ""with Entrance of the Gladiators (Julius Fučík) tease; with moe. replacing Umphrey's midsong, performing Tailspin"", '6': ""with Ain't Talkin' 'bout Love (Van Halen) tease""}",,,,,,,,,,,,,
0,2014-05-25,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,['Sunshine Stage'],"{'1': ""with Imperial March (John Williams) and (Don't Fear) The Reaper (Blue Öyster Cult) teases"", '2': 'with Jake on percussion'}",,,,,,,,,,,,,
0,2014-05-26,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,['early Monday morning set in the Red Barn'],"{'1': 'debut, Billy Squier; with Vince Iwinski on vocals', '2': 'with Allie Kral on fiddle', '3': 'debut, The Verve; with Allie Kral on fiddle', '4': 'with Halloween theme (John Carpenter) teases', '5': 'debut, original; closing section of Onward & Upward'}",,,,,,,,,,,,,
0,2014-06-05,"""Mountain Jam"" Hunter Mountain, Hunter, NY, USA",,['East Stage'],"{'1': 'song previously known as White Pickle', '2': ""with It's Tricky (Run DMC) quote"", '3': 'with Warren Haynes on guitar and Rob Koritz on drums', '4': 'with Xxplosive (Dr. Dre) tease', '5': 'with Bulls On Parade (Rage Against the Machine) jam'}",,,,,,,,,,,,,
0,2014-06-07,"""Wakarusa Music and Camping Festival"" Mulberry Mountain, Ozark, AR, USA",,['late night in the Revival Tent'],"{'1': 'with So Fresh, So Clean (Outkast) and Xxplosive (Dr. Dre) teases'}",,,,,,,,,,,,,
0,2014-06-08,"""Wakarusa Music and Camping Festival"" Mulberry Mountain, Ozark, AR, USA",,['Main Stage'],{},,,,,,,,,,,,,
0,2014-06-13,"Bonnaroo Music & Arts Festival, Manchester, TN, USA",,['What Stage'],"{'1': 'with Professor Wormbog tease', '2': 'with Den jam'}",,,,,,,,,,,,,
0,2014-06-19,"Brooklyn Bowl London, London, England, UK",Godsticks,['with Simple Gifts (Joseph Brackett Jr.) quote before Comma Later'],"{'1': '""Jimmy Stewart"" with lyrics', '2': 'with Nothing Too Fancy tease and Stranglehold (Ted Nugent) jam'}",,,,,,,,,,,,,
0,2014-06-20,"Brooklyn Bowl London, London, England, UK",Syd Arthur,['second set was an All Night Wrong cover set'],"{'1': 'with The Triple Wide tease', '2': ""with Rhiannon (Fleetwood Mac) and White Man's Moccasins teases, with Crazy Train (Ozzy Osbourne) jam"", '3': 'with Live and Let Die (Paul McCartney) teases'}",,,,,,,,,,,,,
0,2014-06-21,"Brooklyn Bowl London, London, England, UK",Syd Arthur,None,"{'1': ""with (Don't Fear) The Reaper (Blue Oyster Cult) teases"", '2': 'with No Comment teases', '3': 'debut, The Misfits; with Manny Sanchez on vocals'}",1 review(s),,,,,,,,,,,,
0,2014-06-26,"""Electric Forest"" Double JJ Resort, Rothbury, MI, USA",,['Sherwood Court stage'],"{'1': 'with Entrance of the Gladiators (Julius Fučík) tease', '2': 'with Know Your Enemy (Rage Against the Machine) jam'}",,,,,,,,,,,,,
0,2014-06-27,"""Electric Forest"" Double JJ Resort, Rothbury, MI, USA",,['Sherwood Court stage'],{'1': 'with Xxplosive (Dr. Dre) teases'},,,,,,,,,,,,,
0,2014-06-28,"Fraze Pavilion, Kettering, OH, USA",The Werks,None,{},,,,,,,,,,,,,
0,2014-06-29,"""Summerfest"" Henry Maier Festival Park, Milwaukee, WI, USA",,None,"{'1': 'debut, original', '2': 'incomplete'}",,,,,,,,,,,,,
